연도,수력,양수,소수력,무연탄,유연탄,중유,가스,화력,열공급,원자력,신재생,집단,내연력,기타,총계,한전구입,자가소비,총발전량
2023,3060193,3783877,656245,1875888,177388597,0,878108,,,180494096,50455722,47959307,389789,1172535,586915554,1130949,29444163,588046503
2022,2950662,3715049,590517,1870760,184876796,351793,1377345,0,0,176054012,47266256,49158704,570046,1171543,593949322,451043,30199748,594400365
2021,2391824,3682932,662678,1853783,187050807,1493853,1176921,0,0,158015230,39101556,48325789,490697,1181224,575785550,1023939,25128865,576809488
2020,3205979,3271019,671251,2094210,185241232,1503944,586627,0,0,160183721,31056508,45567264,404673,4940046,550485720,1676440,24949741,552162160
2019,2229038.12,3458384.755,559640.9271,2592225.311,216483725.3,1842477.512,0.012,0,0,145909669.5,30526256.64,46058095.14,578911.9149,1366662.865,561893899.4,1146405.437,23765699,563040304.8
2018,2748401,3911035,611017,2677040,228975999,5845247,0,0,0,133505261,27176674,47032922,528453,0,569847656,798850,22258122,570646507
2017,2263505,4186353,545316,4426611,227459979,5224768,220183,93839136.55,5779854.45,148426725,24145361.58,36194464.07,513347,,553225602,304506,22882019,553530107
2016,2159149,3787310,687112.6,7760682,201439484,13054770,368541,91064130.62,5858139.13,161995104,18935660,32537144,573196,0,540220436,220419,20543736,540440854
2015,1539297.685,3650320.346,606421.622,7438270.931,199895424.4,8822005.96,222471.548,97375131.11,3223254.052,164762415.9,17317948.6,22018711.2,643163.937,0,527514837.4,576355.319,19710610,528091192.7
2014,2135681,5068129,615737,8506060,195259331,6838457,568123,104301491,7409973,156406511,14695690.36,18948094.92,655810,0,521409090,561813,18407896,521970903
2013,3798240,4104661,491028,8054488,193064345,13940534,3525889,111629509,12770502,138783973,10159658,14403169,740935,0,515466931,1680942,20021403,517147873
