기간,회원구분,급전방식,사업구분,지역,원자력,유연탄,무연탄,기력/유류,기력/가스,복합화력/유류,복합화력/가스,내연력/유류,내연력/가스,양수,신재생,기타,합계
Dec.24,합계,합계,합계,합계,26050,39817.882,400,65.2,1866.3,465.8,44467.556,96.55,0,4700,34427.14355,449.535,152820.8808
Nov.24,합계,합계,합계,합계,26050,39817.882,400,65.2,1866.3,465.8,43362.956,96.55,0,4700,34417.46967,449.535,151706.6069
Oct.24,합계,합계,합계,합계,26050,39817.882,400,65.2,1866.3,465.8,43362.956,96.55,0,4700,34027.63954,449.535,151316.7768
Sep.24,합계,합계,합계,합계,26050,39817.882,400,65.2,1866.3,465.8,42350.956,96.55,0,4700,33629.80758,449.535,149906.9448
Aug.24,합계,합계,합계,합계,26050,39817.882,400,65.2,1596.3,465.8,42350.956,96.55,0,4700,33387.40115,446.635,149389.8458
Jul.24,합계,합계,합계,합계,26050,39817.882,400,65.2,1596.3,465.8,42350.956,96.55,0,4700,33143.84702,446.635,149146.2917
Jun.24,합계,합계,합계,합계,26050,39817.882,400,65.2,1596.3,465.8,42350.956,96.55,0,4700,32707.65618,446.635,148709.1081
May.24,합계,합계,합계,합계,26050,39817.882,400,65.2,1596.3,465.8,41753.785,96.55,0,4700,32436.04385,447.035,147840.7248
Apr.24,합계,합계,합계,합계,26050,38767.882,400,108.7,1596.3,465.8,41753.785,136.55,0,4700,32365.48353,447.035,146803.6644
Mar.24,합계,합계,합계,합계,24650,38767.882,400,152.2,1596.3,465.8,41753.785,136.55,0,4700,32136.91363,447.035,145218.5945
Feb.24,합계,합계,합계,합계,24650,38767.882,400,108.7,1596.3,465.8,41753.785,136.55,0,4700,31966.67841,455.235,145013.0593
Jan.24,합계,합계,합계,합계,24650,38767.882,400,108.7,1596.3,612.045,41594.989,136.55,0,4700,31708.8742,458.935,144746.4041
