연월일,환율(원달러),금액(백만불)_아시아,중량(Ton)_아시아,단위가격(Ton당달러)_아시아,단위가격(MMBTU당달러)_아시아,단위가격(m3당달러)_아시아,단위가격(MJ당달러)_아시아,단위가격(Ton당원)_아시아,단위가격(MMBTU당원)_아시아,단위가격(m3당원)_아시아,단위가격(MJ당원)_아시아
1988-01-01,787.460,21.000,116512.000,180.239,3.499,0.097,0.003,141930.960,2755.470,76.542,2.612
1988-02-01,773.440,21.000,116282.000,180.595,3.506,0.097,0.003,139679.744,2711.764,75.328,2.571
1988-03-01,753.490,10.000,59086.000,169.245,3.286,0.091,0.003,127524.287,2475.776,68.773,2.347
1988-04-01,741.800,33.000,172876.000,190.888,3.706,0.103,0.004,141600.916,2749.062,76.364,2.606
1988-05-01,735.670,45.000,231236.000,194.606,3.778,0.105,0.004,143166.073,2779.448,77.208,2.635
1988-06-01,729.460,33.000,175143.000,188.417,3.658,0.102,0.003,137443.004,2668.340,74.122,2.530
1988-07-01,725.810,21.000,114297.000,183.732,3.567,0.099,0.003,133354.419,2588.963,71.917,2.454
1988-08-01,722.810,38.000,228414.000,166.365,3.230,0.090,0.003,120249.985,2334.552,64.850,2.213
1988-09-01,720.240,35.000,228291.000,153.313,2.976,0.083,0.003,110422.224,2143.754,59.550,2.032
1988-10-01,709.350,18.000,114644.000,157.008,3.048,0.085,0.003,111373.469,2162.222,60.063,2.050
1988-11-01,693.000,32.000,227698.000,140.537,2.728,0.076,0.003,97392.160,1890.787,52.523,1.792
1988-12-01,685.030,15.000,113468.000,132.196,2.566,0.071,0.002,90558.131,1758.110,48.837,1.667
1989-01-01,682.420,32.000,223274.000,143.322,2.782,0.077,0.003,97805.566,1898.813,52.746,1.800
1989-02-01,676.990,18.000,112487.000,160.018,3.107,0.086,0.003,108330.918,2103.153,58.422,1.994
1989-03-01,672.970,20.000,112603.000,177.615,3.448,0.096,0.003,119529.675,2320.568,64.461,2.200
1989-04-01,667.360,30.000,170259.000,176.202,3.421,0.095,0.003,117590.260,2282.916,63.415,2.164
1989-05-01,666.560,30.000,167091.000,179.543,3.486,0.097,0.003,119676.105,2323.411,64.540,2.203
1989-06-01,666.710,31.000,168484.000,183.994,3.572,0.099,0.003,122670.461,2381.543,66.155,2.258
1989-07-01,667.280,41.000,223439.000,183.495,3.562,0.099,0.003,122442.725,2377.122,66.032,2.253
1989-08-01,668.380,30.000,167029.000,179.610,3.487,0.097,0.003,120047.417,2330.619,64.741,2.209
1989-09-01,670.030,29.000,168509.000,172.098,3.341,0.093,0.003,115310.577,2238.658,62.186,2.122
1989-10-01,671.270,29.000,166805.000,173.856,3.375,0.094,0.003,116704.116,2265.712,62.938,2.148
1989-11-01,672.330,29.000,168163.000,172.452,3.348,0.093,0.003,115944.471,2250.964,62.528,2.134
1989-12-01,675.170,30.000,166363.000,180.329,3.501,0.097,0.003,121752.433,2363.721,65.660,2.241
1990-01-01,683.430,40.000,223620.000,178.875,3.467,0.144,0.003,122248.457,2369.699,98.739,2.246
1990-02-01,689.870,32.000,168106.000,190.356,3.690,0.154,0.003,131320.952,2545.563,106.067,2.413
1990-03-01,697.780,32.000,167641.000,190.884,3.700,0.154,0.004,133195.101,2581.892,107.581,2.448
1990-04-01,706.030,32.000,166770.000,191.881,3.719,0.155,0.004,135473.766,2626.062,109.421,2.489
1990-05-01,709.260,30.000,168308.000,178.245,3.455,0.144,0.003,126421.798,2450.597,102.110,2.323
1990-06-01,715.330,28.000,166192.000,168.480,3.266,0.136,0.003,120518.677,2336.169,97.342,2.215
1990-07-01,715.940,27.000,167960.000,160.753,3.116,0.130,0.003,115089.188,2230.922,92.957,2.115
1990-08-01,715.540,26.000,167067.000,155.626,3.017,0.126,0.003,111356.761,2158.572,89.942,2.046
1990-09-01,714.960,38.000,223502.000,170.021,3.296,0.137,0.003,121558.107,2356.317,98.182,2.234
1990-10-01,715.000,39.000,170640.000,228.551,4.430,0.185,0.004,163414.205,3167.668,131.988,3.003
1990-11-01,714.320,67.000,223791.000,299.386,5.803,0.242,0.006,213857.751,4145.480,172.731,3.930
1990-12-01,715.730,68.000,223735.000,303.931,5.891,0.245,0.006,217532.527,4216.713,175.699,3.997
1991-01-01,718.140,41.000,169640.000,241.688,4.685,0.195,0.004,173566.022,3364.454,140.188,3.189
1991-02-01,721.610,80.000,339481.000,235.654,4.568,0.190,0.004,170050.165,3296.301,137.348,3.125
1991-03-01,725.110,57.000,286525.000,198.936,3.856,0.161,0.004,144250.135,2796.186,116.510,2.651
1991-04-01,725.480,39.000,226235.000,172.387,3.342,0.139,0.003,125063.408,2424.265,101.013,2.298
1991-05-01,725.130,40.000,226147.000,176.876,3.429,0.143,0.003,128258.168,2486.193,103.593,2.357
1991-06-01,725.370,19.000,113217.000,167.819,3.253,0.136,0.003,121731.100,2359.671,98.321,2.237
1991-07-01,728.960,31.000,171441.000,180.820,3.505,0.146,0.003,131810.710,2555.057,106.462,2.422
1991-08-01,731.120,31.000,169527.000,182.862,3.545,0.148,0.003,133693.866,2591.560,107.984,2.457
1991-09-01,739.740,51.000,284437.000,179.302,3.476,0.145,0.003,132636.542,2571.065,107.130,2.437
1991-10-01,748.960,42.000,225745.000,186.051,3.606,0.150,0.003,139344.482,2701.094,112.547,2.561
